x,flux_0,flux_0_var,flux_1,flux_1_var,vf_0,vf_0_var,vf_1,vf_1_var
1.36,0.7133235099289333,0.027706020803917427,0.09446029367162118,0.00573245618119493,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.37,0.7116898985276109,0.027795137574440847,0.09424916275002125,0.005714967466762869,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.025002334568565116
1.38,0.71006178327652,0.027882709894741172,0.09403875339145643,0.005697539137921567,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
1.39,0.7084391271152001,0.027968755078153416,0.09382905963901993,0.005680170936988396,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.4,0.7068218934914466,0.028053290216314954,0.0936200756927295,0.00566286260406871,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.41,0.7052100463503815,0.028136332182532302,0.09341179590014996,0.005645613877526899,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.42,0.7036035501238512,0.0282178976351007,0.09320421474778204,0.005628424494407707,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.43,0.7020023697200624,0.02829800302058172,0.09299732685315185,0.005611294190812645,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.44,0.7004064705135727,0.02837666457703424,0.09279112695754377,0.005594222702235782,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.45,0.6988158183355487,0.02845389833719939,0.09258560991931256,0.005577209763862969,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.46,0.6972303794642113,0.02852972013164015,0.09238077070772338,0.0055602551108382,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.47,0.6956501206156489,0.028604145591832962,0.09217660439727757,0.005543358478499994,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.48,0.6940750089348026,0.028677190153214193,0.09197310616247506,0.005526519602591215,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.49,0.6925050119867405,0.02874886905817871,0.09177027127297381,0.005509738219444704,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.5,0.6909400977481244,0.028819197359031583,0.09156809508912132,0.0054930140661471685,0.8468968466942275,0.02500233456856511,0.1531031533057704,0.025002334568565116
1.51,0.6893802345989327,0.028888189920892704,0.09136657305781262,0.005476346880683435,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.52,0.6878253913144189,0.028955861424557326,0.09116570070865414,0.005459736402063244,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.53,0.6862755370572181,0.029022226369306237,0.09096547365040657,0.005443182370432231,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.025002334568565116
1.54,0.6847306413697382,0.029087299075673353,0.09076588756767719,0.005426684527168641,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.55,0.6831906741667061,0.029151093688166336,0.09056693821784507,0.005410242614967147,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
1.56,0.6816556057279045,0.029213624177940885,0.09036862142820103,0.005393856377911535,0.8468968466942275,0.02500233456856511,0.15310315330577037,0.02500233456856511
