x,flux_0,flux_1,vf_0,vf_1
1.78,0.5954792498948925,0.012264792385642435,0.5217046606723124,0.47829533932768764
1.79,0.5936597225726872,0.0122329416670168,0.5219086820807091,0.47809131791929094
1.8,0.5918467567694042,0.012201531512002798,0.5221118917867648,0.47788810821323524
1.81,0.5900182025630301,0.012153873302671018,0.5223487144818857,0.47765128551811425
1.82,0.5881964394082961,0.012108201439498341,0.5225845915979137,0.47741540840208624
1.83,0.586381437263221,0.012064343095631092,0.5228195269103308,0.4771804730896691
1.84,0.5845731659439605,0.012022140755341236,0.5230535241795446,0.4769464758204554
1.85,0.5827715951563618,0.011981450858307654,0.5232865871509476,0.47671341284905244
1.86,0.5809766945245298,0.011942142563908057,0.5235187195549783,0.4764812804450217
1.87,0.5791884336166793,0.011904096624900194,0.5237499251071804,0.47625007489281956
1.88,0.5774067819685103,0.011867204360811,0.5239802075082622,0.4760197924917377
1.89,0.5756317091043371,0.011831366722208825,0.524209570444156,0.47579042955584405
1.9,0.5738631845561711,0.011796493437814921,0.5244380175860767,0.47556198241392333
1.91,0.5721011778809406,0.011762502237121941,0.524665552590581,0.47533444740941894
1.92,0.5703456586760176,0.011729318141836304,0.5248921790996264,0.4751078209003737
1.93,0.568596596593207,0.011696872820052485,0.5251179007406278,0.4748820992593722
1.94,0.5668539613513331,0.011665103997606468,0.5253427211265176,0.4746572788734824
1.95,0.5651177227475532,0.011633954921547052,0.5255666438558022,0.47443335614419785
1.96,0.5633878506675142,0.011603373871111473,0.5257896725126199,0.4742103274873801
1.97,0.5616643150944548,0.011573313712000299,0.5260118106667985,0.4739881893332015
1.98,0.559947086117353,0.011543731490118546,0.5262330618739122,0.4737669381260878
1.99,0.5582361339382004,0.011514588061289298,0.5264534296753389,0.47354657032466113
2.0,0.5565314288784903,0.011485847753755255,0.526672917598316,0.47332708240168403
2.01,0.5548117545856067,0.011442039971146855,0.5269261624350545,0.4730738375649455
2.02,0.5530985466639877,0.011400069377136153,0.5271783918931237,0.4728216081068764
2.03,0.5513917756119951,0.011359775786246069,0.5274296100436576,0.4725703899563424
2.04,0.5496914118133894,0.011321013205870065,0.5276798209414686,0.47232017905853146
2.05,0.5479974255664715,0.011283648579581584,0.5279290286251099,0.47207097137489
2.06,0.5463097871104442,0.011247560641684938,0.5281772371169435,0.4718227628830564
2.07,0.54462846664925,0.011212638873162817,0.5284244504232032,0.47157554957679687
2.08,0.5429534343731108,0.01117878255004674,0.5286706725340597,0.4713293274659403
2.09,0.5412846604779749,0.011145899876030785,0.5289159074236858,0.4710840925763143
2.1,0.5396221151830645,0.011113907191872566,0.5291601590503194,0.4708398409496805
2.11,0.5379657687466949,0.011082728254785382,0.5294034313563286,0.4705965686436714
2.12,0.5363155914805203,0.011052293581626554,0.529645728268274,0.470354271731726
2.13,0.534671553762349,0.011022539850235403,0.5298870536969732,0.4701129463030268
2.14,0.5330336260476605,0.010993409353773792,0.5301274115375632,0.4698725884624368
2.15,0.5314017788799379,0.01096484950337778,0.5303668056695638,0.4696331943304362
2.16,0.5297759828999291,0.010936812374843981,0.5306052399569398,0.46939476004306024
2.17,0.5281562088539293,0.010909254295452779,0.5308427182481634,0.4691572817518365
2.18,0.5265424276011753,0.010882135467375419,0.531079244376277,0.46892075562372304
2.19,0.5249346101204364,0.010855419624426479,0.5313148221589538,0.46868517784104624
2.2,0.5233327275158688,0.010829073719209817,0.5315494553985607,0.46845054460143937
2.21,0.5217164701679766,0.010788730683061461,0.5318180286556049,0.46818197134439515
2.22,0.5201063571583832,0.010750090559330888,0.5320855199197578,0.46791448008024217
2.23,0.518502359681063,0.010713004558042614,0.5323519335500113,0.4676480664499887
2.24,0.5169044488386041,0.010677337074285333,0.532617273887796,0.467382726112204
2.25,0.5153125956691518,0.010642964520732545,0.5328815452570528,0.4671184547429473
2.26,0.5137267711707658,0.010609774263508011,0.5331447519643022,0.4668552480356978
2.27,0.5121469463234279,0.010577663652250381,0.5334068982987161,0.46659310170128393
2.28,0.5105730921089117,0.010546539136040187,0.5336679885321858,0.4663320114678142
2.29,0.5090051795287054,0.010516315457590325,0.5339280269193931,0.46607197308060694
2.3,0.5074431796201705,0.010486914918773271,0.534187017697879,0.465812982302121
2.31,0.5058870634710886,0.010458266711171291,0.5344449650881128,0.4655550349118872
