x,phi(x)
1.0900000e+00,4.0157461e-01
1.0950000e+00,4.0117239e-01
1.1000000e+00,4.0077106e-01
1.1050000e+00,4.0037063e-01
1.1100000e+00,3.9997107e-01
1.1150000e+00,3.9957239e-01
1.1200000e+00,3.9917458e-01
1.1250000e+00,3.9877763e-01
1.1300000e+00,3.9838155e-01
1.1350000e+00,3.9798632e-01
1.1400000e+00,3.9759193e-01
1.1450000e+00,3.9719840e-01
1.1500000e+00,3.9680569e-01
1.1550000e+00,3.9641383e-01
1.1600000e+00,3.9602279e-01
1.1650000e+00,3.9563257e-01
1.1700000e+00,3.9524318e-01
1.1750000e+00,3.9485459e-01
1.1800000e+00,3.9446682e-01
1.1850000e+00,3.9407985e-01
1.1900000e+00,3.9369368e-01
1.1950000e+00,3.9330831e-01
1.2000000e+00,3.9292372e-01
1.2050000e+00,3.9253993e-01
1.2100000e+00,3.9215691e-01
1.2150000e+00,3.9177468e-01
1.2200000e+00,3.9139322e-01
1.2250000e+00,3.9101253e-01
1.2300000e+00,3.9063260e-01
1.2350000e+00,3.9025344e-01
1.2400000e+00,3.8987503e-01
1.2450000e+00,3.8949738e-01
1.2500000e+00,3.8912048e-01
1.2550000e+00,3.8874433e-01
1.2600000e+00,3.8836892e-01
1.2650000e+00,3.8799424e-01
1.2700000e+00,3.8762031e-01
1.2750000e+00,3.8724710e-01
1.2800000e+00,3.8687462e-01
1.2850000e+00,3.8650287e-01
1.2900000e+00,3.8613184e-01
1.2950000e+00,3.8576152e-01
1.3000000e+00,3.8539192e-01
1.3050000e+00,3.8502303e-01
1.3100000e+00,3.8465484e-01
1.3150000e+00,3.8428736e-01
1.3200000e+00,3.8392058e-01
1.3250000e+00,3.8355450e-01
1.3300000e+00,3.8318911e-01
1.3350000e+00,3.8282442e-01
1.3400000e+00,3.8246041e-01
1.3450000e+00,3.8209708e-01
1.3500000e+00,3.8173444e-01
1.3550000e+00,3.8137247e-01
1.3600000e+00,3.8101118e-01
1.3650000e+00,3.8065056e-01
1.3700000e+00,3.8029061e-01
1.3750000e+00,3.7993133e-01
1.3800000e+00,3.7957271e-01
1.3850000e+00,3.7921475e-01
1.3900000e+00,3.7885744e-01
1.3950000e+00,3.7850079e-01
1.4000000e+00,3.7814480e-01
1.4050000e+00,3.7778945e-01
1.4100000e+00,3.7743475e-01
1.4150000e+00,3.7708069e-01
1.4200000e+00,3.7672727e-01
1.4250000e+00,3.7637449e-01
1.4300000e+00,3.7602235e-01
1.4350000e+00,3.7567083e-01
1.4400000e+00,3.7531995e-01
1.4450000e+00,3.7496969e-01
1.4500000e+00,3.7462006e-01
1.4550000e+00,3.7427105e-01
1.4600000e+00,3.7392266e-01
1.4650000e+00,3.7357489e-01
1.4700000e+00,3.7322773e-01
1.4750000e+00,3.7288118e-01
1.4800000e+00,3.7253524e-01
1.4850000e+00,3.7218991e-01
1.4900000e+00,3.7184518e-01
1.4950000e+00,3.7150105e-01
1.5000000e+00,3.7115752e-01
1.5050000e+00,3.7081459e-01
1.5100000e+00,3.7047226e-01
1.5150000e+00,3.7013051e-01
1.5200000e+00,3.6978936e-01
1.5250000e+00,3.6944879e-01
1.5300000e+00,3.6910881e-01
1.5350000e+00,3.6876941e-01
1.5400000e+00,3.6843059e-01
