x,p1(x)
1.7600000e+00,5.2124988e-01
1.7650000e+00,5.2135820e-01
1.7700000e+00,5.2146674e-01
1.7750000e+00,5.2157549e-01
1.7800000e+00,5.2168445e-01
1.7850000e+00,5.2179362e-01
1.7900000e+00,5.2190301e-01
1.7950000e+00,5.2201261e-01
1.8000000e+00,5.2212243e-01
1.8050000e+00,5.2223245e-01
1.8100000e+00,5.2234269e-01
1.8150000e+00,5.2245313e-01
1.8200000e+00,5.2256379e-01
1.8250000e+00,5.2267466e-01
1.8300000e+00,5.2278573e-01
1.8350000e+00,5.2289702e-01
1.8400000e+00,5.2300852e-01
1.8450000e+00,5.2312022e-01
1.8500000e+00,5.2323213e-01
1.8550000e+00,5.2334425e-01
1.8600000e+00,5.2345658e-01
1.8650000e+00,5.2356911e-01
1.8700000e+00,5.2368186e-01
1.8750000e+00,5.2379480e-01
1.8800000e+00,5.2390796e-01
1.8850000e+00,5.2402132e-01
1.8900000e+00,5.2413488e-01
1.8950000e+00,5.2424865e-01
1.9000000e+00,5.2436263e-01
1.9050000e+00,5.2447681e-01
1.9100000e+00,5.2459119e-01
1.9150000e+00,5.2470577e-01
1.9200000e+00,5.2482056e-01
1.9250000e+00,5.2493556e-01
1.9300000e+00,5.2505075e-01
1.9350000e+00,5.2516615e-01
1.9400000e+00,5.2528174e-01
1.9450000e+00,5.2539754e-01
1.9500000e+00,5.2551354e-01
1.9550000e+00,5.2562974e-01
1.9600000e+00,5.2574615e-01
1.9650000e+00,5.2586275e-01
1.9700000e+00,5.2597955e-01
1.9750000e+00,5.2609655e-01
1.9800000e+00,5.2621375e-01
1.9850000e+00,5.2633114e-01
1.9900000e+00,5.2644874e-01
1.9950000e+00,5.2656653e-01
2.0000000e+00,5.2668452e-01
2.0050000e+00,5.2680271e-01
2.0100000e+00,5.2692109e-01
2.0150000e+00,5.2703967e-01
2.0200000e+00,5.2715845e-01
2.0250000e+00,5.2727742e-01
2.0300000e+00,5.2739659e-01
2.0350000e+00,5.2751595e-01
2.0400000e+00,5.2763551e-01
2.0450000e+00,5.2775526e-01
2.0500000e+00,5.2787521e-01
2.0550000e+00,5.2799535e-01
2.0600000e+00,5.2811568e-01
2.0650000e+00,5.2823620e-01
2.0700000e+00,5.2835692e-01
2.0750000e+00,5.2847783e-01
2.0800000e+00,5.2859894e-01
2.0850000e+00,5.2872023e-01
2.0900000e+00,5.2884171e-01
2.0950000e+00,5.2896339e-01
2.1000000e+00,5.2908526e-01
2.1050000e+00,5.2920732e-01
2.1100000e+00,5.2932956e-01
2.1150000e+00,5.2945200e-01
2.1200000e+00,5.2957463e-01
2.1250000e+00,5.2969744e-01
2.1300000e+00,5.2982044e-01
2.1350000e+00,5.2994364e-01
2.1400000e+00,5.3006702e-01
2.1450000e+00,5.3019058e-01
2.1500000e+00,5.3031434e-01
2.1550000e+00,5.3043828e-01
2.1600000e+00,5.3056241e-01
2.1650000e+00,5.3068673e-01
2.1700000e+00,5.3081123e-01
2.1750000e+00,5.3093591e-01
2.1800000e+00,5.3106079e-01
2.1850000e+00,5.3118584e-01
2.1900000e+00,5.3131109e-01
2.1950000e+00,5.3143651e-01
2.2000000e+00,5.3156212e-01
2.2050000e+00,5.3168792e-01
2.2100000e+00,5.3181389e-01
2.2150000e+00,5.3194006e-01
2.2200000e+00,5.3206640e-01
2.2250000e+00,5.3219293e-01
2.2300000e+00,5.3231963e-01
2.2350000e+00,5.3244653e-01
2.2400000e+00,5.3257360e-01
2.2450000e+00,5.3270085e-01
2.2500000e+00,5.3282829e-01
2.2550000e+00,5.3295590e-01
2.2600000e+00,5.3308370e-01
2.2650000e+00,5.3321167e-01
2.2700000e+00,5.3333983e-01
2.2750000e+00,5.3346816e-01
2.2800000e+00,5.3359668e-01
2.2850000e+00,5.3372537e-01
2.2900000e+00,5.3385424e-01
2.2950000e+00,5.3398329e-01
2.3000000e+00,5.3411252e-01
2.3050000e+00,5.3424192e-01
2.3100000e+00,5.3437150e-01
2.3150000e+00,5.3450126e-01
2.3200000e+00,5.3463120e-01
2.3250000e+00,5.3476131e-01
2.3300000e+00,5.3489160e-01
2.3350000e+00,5.3502206e-01
2.3400000e+00,5.3515270e-01
2.3450000e+00,5.3528352e-01
2.3500000e+00,5.3541451e-01
2.3550000e+00,5.3554567e-01
2.3600000e+00,5.3567701e-01
2.3650000e+00,5.3580852e-01
2.3700000e+00,5.3594021e-01
2.3750000e+00,5.3607207e-01
2.3800000e+00,5.3620410e-01
2.3850000e+00,5.3633631e-01
2.3900000e+00,5.3646868e-01
2.3950000e+00,5.3660123e-01
2.4000000e+00,5.3673396e-01
2.4050000e+00,5.3686685e-01
2.4100000e+00,5.3699992e-01
2.4150000e+00,5.3713315e-01
2.4200000e+00,5.3726656e-01
2.4250000e+00,5.3740014e-01
2.4300000e+00,5.3753389e-01
2.4350000e+00,5.3766780e-01
2.4400000e+00,5.3780189e-01
2.4450000e+00,5.3793615e-01
2.4500000e+00,5.3807058e-01
2.4550000e+00,5.3820517e-01
2.4600000e+00,5.3833993e-01
2.4650000e+00,5.3847487e-01
2.4700000e+00,5.3860997e-01
2.4750000e+00,5.3874523e-01
2.4800000e+00,5.3888067e-01
2.4850000e+00,5.3901627e-01
2.4900000e+00,5.3915204e-01
2.4950000e+00,5.3928797e-01
2.5000000e+00,5.3942408e-01
2.5050000e+00,5.3956034e-01
2.5100000e+00,5.3969678e-01
2.5150000e+00,5.3983338e-01
2.5200000e+00,5.3997014e-01
2.5250000e+00,5.4010707e-01
2.5300000e+00,5.4024416e-01
2.5350000e+00,5.4038142e-01
2.5400000e+00,5.4051884e-01
2.5450000e+00,5.4065643e-01
2.5500000e+00,5.4079418e-01
2.5550000e+00,5.4093209e-01
2.5600000e+00,5.4107017e-01
2.5650000e+00,5.4120841e-01
2.5700000e+00,5.4134681e-01
2.5750000e+00,5.4148537e-01
2.5800000e+00,5.4162409e-01
2.5850000e+00,5.4176298e-01
2.5900000e+00,5.4190203e-01
2.5950000e+00,5.4204124e-01
2.6000000e+00,5.4218061e-01
2.6050000e+00,5.4232014e-01
2.6100000e+00,5.4245983e-01
2.6150000e+00,5.4259968e-01
2.6200000e+00,5.4273969e-01
2.6250000e+00,5.4287986e-01
2.6300000e+00,5.4302019e-01
2.6350000e+00,5.4316068e-01
2.6400000e+00,5.4330133e-01
2.6450000e+00,5.4344213e-01
2.6500000e+00,5.4358310e-01
2.6550000e+00,5.4372422e-01
2.6600000e+00,5.4386550e-01
2.6650000e+00,5.4400694e-01
2.6700000e+00,5.4414853e-01
2.6750000e+00,5.4429028e-01
2.6800000e+00,5.4443219e-01
2.6850000e+00,5.4457426e-01
2.6900000e+00,5.4471648e-01
2.6950000e+00,5.4485885e-01
2.7000000e+00,5.4500139e-01
2.7050000e+00,5.4514407e-01
2.7100000e+00,5.4528692e-01
2.7150000e+00,5.4542991e-01
2.7200000e+00,5.4557307e-01
2.7250000e+00,5.4571637e-01
2.7300000e+00,5.4585984e-01
2.7350000e+00,5.4600345e-01
2.7400000e+00,5.4614722e-01
2.7450000e+00,5.4629114e-01
2.7500000e+00,5.4643522e-01
2.7550000e+00,5.4657944e-01
2.7600000e+00,5.4672383e-01
2.7650000e+00,5.4686836e-01
2.7700000e+00,5.4701304e-01
2.7750000e+00,5.4715788e-01
2.7800000e+00,5.4730287e-01
2.7850000e+00,5.4744801e-01
2.7900000e+00,5.4759330e-01
2.7950000e+00,5.4773875e-01
2.8000000e+00,5.4788434e-01
2.8050000e+00,5.4803008e-01
2.8100000e+00,5.4817598e-01
2.8150000e+00,5.4832202e-01
2.8200000e+00,5.4846821e-01
2.8250000e+00,5.4861456e-01
2.8300000e+00,5.4876105e-01
2.8350000e+00,5.4890769e-01
2.8400000e+00,5.4905448e-01
2.8450000e+00,5.4920142e-01
2.8500000e+00,5.4934851e-01
2.8550000e+00,5.4949574e-01
2.8600000e+00,5.4964313e-01
2.8650000e+00,5.4979066e-01
2.8700000e+00,5.4993834e-01
2.8750000e+00,5.5008616e-01
2.8800000e+00,5.5023413e-01
2.8850000e+00,5.5038225e-01
2.8900000e+00,5.5053052e-01
2.8950000e+00,5.5067893e-01
2.9000000e+00,5.5082749e-01
2.9050000e+00,5.5097619e-01
2.9100000e+00,5.5112504e-01
2.9150000e+00,5.5127403e-01
2.9200000e+00,5.5142317e-01
2.9250000e+00,5.5157245e-01
2.9300000e+00,5.5172188e-01
2.9350000e+00,5.5187146e-01
2.9400000e+00,5.5202117e-01
2.9450000e+00,5.5217103e-01
2.9500000e+00,5.5232104e-01
2.9550000e+00,5.5247118e-01
2.9600000e+00,5.5262148e-01
2.9650000e+00,5.5277191e-01
2.9700000e+00,5.5292249e-01
2.9750000e+00,5.5307321e-01
2.9800000e+00,5.5322407e-01
2.9850000e+00,5.5337507e-01
2.9900000e+00,5.5352622e-01
2.9950000e+00,5.5367750e-01
3.0000000e+00,5.5382893e-01
3.0050000e+00,5.5398050e-01
3.0100000e+00,5.5413221e-01
3.0150000e+00,5.5428407e-01
3.0200000e+00,5.5443606e-01
3.0250000e+00,5.5458819e-01
3.0300000e+00,5.5474046e-01
3.0350000e+00,5.5489287e-01
3.0400000e+00,5.5504543e-01
3.0450000e+00,5.5519812e-01
3.0500000e+00,5.5535095e-01
3.0550000e+00,5.5550392e-01
3.0600000e+00,5.5565703e-01
3.0650000e+00,5.5581027e-01
3.0700000e+00,5.5596366e-01
3.0750000e+00,5.5611718e-01
3.0800000e+00,5.5627085e-01
3.0850000e+00,5.5642464e-01
3.0900000e+00,5.5657858e-01
3.0950000e+00,5.5673266e-01
3.1000000e+00,5.5688687e-01
3.1050000e+00,5.5704121e-01
3.1100000e+00,5.5719570e-01
3.1150000e+00,5.5735032e-01
3.1200000e+00,5.5750508e-01
3.1250000e+00,5.5765997e-01
3.1300000e+00,5.5781500e-01
3.1350000e+00,5.5797017e-01
3.1400000e+00,5.5812547e-01
3.1450000e+00,5.5828090e-01
3.1500000e+00,5.5843647e-01
3.1550000e+00,5.5859218e-01
3.1600000e+00,5.5874802e-01
3.1650000e+00,5.5890399e-01
3.1700000e+00,5.5906010e-01
3.1750000e+00,5.5921634e-01
3.1800000e+00,5.5937272e-01
3.1850000e+00,5.5952923e-01
3.1900000e+00,5.5968587e-01
3.1950000e+00,5.5984264e-01
3.2000000e+00,5.5999955e-01
3.2050000e+00,5.6015660e-01
3.2100000e+00,5.6031377e-01
3.2150000e+00,5.6047108e-01
3.2200000e+00,5.6062851e-01
3.2250000e+00,5.6078608e-01
3.2300000e+00,5.6094379e-01
3.2350000e+00,5.6110162e-01
3.2400000e+00,5.6125959e-01
3.2450000e+00,5.6141768e-01
3.2500000e+00,5.6157591e-01
3.2550000e+00,5.6173427e-01
